abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.6044,1.9662,192.168.93.59,192.168.93.59,6,18256,80,44,40,64,2,SYN,8192,6399,0,,,0,44,1,28,14,1,0.5,0.5,0.5,1,0,0,0
1773306142.6046,1.9663,192.168.93.59,192.168.93.59,6,80,18256,44,40,64,20,RST|ACK,0,0,6400,,,0.00016379356384277344,88,2,29,0,1,0.4828,0,1,1,0,1,0
1773306142.6047,1.9665,192.168.93.59,192.168.93.59,6,37490,80,44,40,64,2,SYN,8192,8891,0,,,0,44,1,30,15,1,0.5,0.5,0.5,1,0,0,0
1773306142.6048,1.9666,192.168.93.59,192.168.93.59,6,80,37490,44,40,64,20,RST|ACK,0,0,8892,,,0.0001227855682373047,88,2,31,0,1,0.4839,0,1,1,0,1,0
1773306143,1.9668,192.168.93.59,192.168.93.59,6,7285,80,44,40,64,2,SYN,8192,1076,0,,,0,44,1,32,16,1,0.5,0.5,0.5,1,0,0,0
1773306142.6051,1.9669,192.168.93.59,192.168.93.59,6,80,7285,44,40,64,20,RST|ACK,0,0,1077,,,0.00012803077697753906,88,2,33,0,1,0.4848,0,1,1,0,1,0
1773306142.6053,1.9671,192.168.93.59,192.168.93.59,6,64175,80,44,40,64,2,SYN,8192,6363,0,,,0,44,1,34,17,1,0.5,0.5,0.5,1,0,0,0
1773306142.6054,1.9672,192.168.93.59,192.168.93.59,6,80,64175,44,40,64,20,RST|ACK,0,0,6364,,,0.00010800361633300781,88,2,35,0,1,0.4857,0,1,1,0,1,0
1773306142.6056,1.9674,192.168.93.59,192.168.93.59,6,2105,80,44,40,64,2,SYN,8192,6188,0,,,0,44,1,36,18,1,0.5,0.5,0.5,1,0,0,0
1773306142.6057,1.9675,192.168.93.59,192.168.93.59,6,80,2105,44,40,64,20,RST|ACK,0,0,6189,,,0.00010609626770019531,88,2,37,0,1,0.4865,0,1,1,0,1,0
1773306142.6059,1.9677,192.168.93.59,192.168.93.59,6,19718,80,44,40,64,2,SYN,8192,3545,0,,,0,44,1,38,19,1,0.5,0.5,0.5,1,0,0,0
1773306143,1.9678,192.168.93.59,192.168.93.59,6,80,19718,44,40,64,20,RST|ACK,0,0,3546,,,0.00010514259338378906,88,2,39,0,1,0.4872,0,1,1,0,1,0
1773306142.6062,1.968,192.168.93.59,192.168.93.59,6,34727,80,44,40,64,2,SYN,8192,7904,0,,,0,44,1,40,20,1,0.5,0.5,0.5,1,0,0,0
1773306142.6063,1.9681,192.168.93.59,192.168.93.59,6,80,34727,44,40,64,20,RST|ACK,0,0,7905,,,0.00010585784912109375,88,2,41,0,1,0.4878,0,1,1,0,1,0
1773306142.6065,1.9683,192.168.93.59,192.168.93.59,6,55112,80,44,40,64,2,SYN,8192,6203,0,,,0,44,1,42,21,1,0.5,0.5,0.5,1,0,0,0
1773306142.6066,1.9684,192.168.93.59,192.168.93.59,6,80,55112,44,40,64,20,RST|ACK,0,0,6204,,,0.00010609626770019531,88,2,43,0,1,0.4884,0,1,1,0,1,0
1773306142.6068,1.9686,192.168.93.59,192.168.93.59,6,17053,80,44,40,64,2,SYN,8192,8603,0,,,0,44,1,44,22,1,0.5,0.5,0.5,1,0,0,0
1773306142.6069,1.9687,192.168.93.59,192.168.93.59,6,80,17053,44,40,64,20,RST|ACK,0,0,8604,,,0.00010418891906738281,88,2,45,0,1,0.4889,0,1,1,0,1,0
1773306142.6073,1.9691,192.168.93.59,192.168.93.59,6,31526,80,44,40,64,2,SYN,8192,5645,0,,,0,44,1,46,23,1,0.5,0.5,0.5,1,0,0,0
1773306142.6074,1.9692,192.168.93.59,192.168.93.59,6,80,31526,44,40,64,20,RST|ACK,0,0,5646,,,0.00011491775512695312,88,2,47,0,1,0.4894,0,1,1,0,1,0
1773306142.6075,1.9693,192.168.93.59,192.168.93.59,6,16599,80,44,40,64,2,SYN,8192,7492,0,,,0,44,1,48,24,1,0.5,0.5,0.5,1,0,0,0
1773306142.6076,1.9694,192.168.93.59,192.168.93.59,6,80,16599,44,40,64,20,RST|ACK,0,0,7493,,,0.00010323524475097656,88,2,49,0,1,0.4898,0,1,1,0,1,0
1773306142.6077,1.9695,192.168.93.59,192.168.93.59,6,2607,80,44,40,64,2,SYN,8192,2850,0,,,0,44,1,50,25,1,0.5,0.5,0.5,1,0,0,0
1773306142.6078,1.9696,192.168.93.59,192.168.93.59,6,80,2607,44,40,64,20,RST|ACK,0,0,2851,,,0.000102996826171875,88,2,51,0,1,0.4902,0,1,1,0,1,0
1773306143,1.9698,192.168.93.59,192.168.93.59,6,6906,80,44,40,64,2,SYN,8192,2953,0,,,0,44,1,52,26,1,0.5,0.5,0.5,1,0,0,0
1773306142.6081,1.9699,192.168.93.59,192.168.93.59,6,80,6906,44,40,64,20,RST|ACK,0,0,2954,,,0.0001068115234375,88,2,53,0,1,0.4906,0,1,1,0,1,0
1773306142.6083,1.9701,192.168.93.59,192.168.93.59,6,53328,80,44,40,64,2,SYN,8192,8539,0,,,0,44,1,54,27,1,0.5,0.5,0.5,1,0,0,0
1773306142.6084,1.9702,192.168.93.59,192.168.93.59,6,80,53328,44,40,64,20,RST|ACK,0,0,8540,,,0.00010585784912109375,88,2,55,0,1,0.4909,0,1,1,0,1,0
1773306142.6086,1.9704,192.168.93.59,192.168.93.59,6,29205,80,44,40,64,2,SYN,8192,5146,0,,,0,44,1,56,28,1,0.5,0.5,0.5,1,0,0,0
1773306142.6087,1.9705,192.168.93.59,192.168.93.59,6,80,29205,44,40,64,20,RST|ACK,0,0,5147,,,0.00010585784912109375,88,2,57,0,1,0.4912,0,1,1,0,1,0
1773306143,1.9708,192.168.93.59,192.168.93.59,6,39879,80,44,40,64,2,SYN,8192,3484,0,,,0,44,1,58,29,1,0.5,0.5,0.5,1,0,0,0
1773306142.6092,1.971,192.168.93.59,192.168.93.59,6,80,39879,44,40,64,20,RST|ACK,0,0,3485,,,0.00020194053649902344,88,2,59,0,1,0.4915,0,1,1,0,1,0
1773306142.6095,1.9713,192.168.93.59,192.168.93.59,6,43114,80,44,40,64,2,SYN,8192,7811,0,,,0,44,1,60,30,1,0.5,0.5,0.5,1,0,0,0
1773306142.6096,1.9714,192.168.93.59,192.168.93.59,6,80,43114,44,40,64,20,RST|ACK,0,0,7812,,,0.0001571178436279297,88,2,61,0,1,0.4918,0,1,1,0,1,0
1773306142.6098,1.9716,192.168.93.59,192.168.93.59,6,58551,80,44,40,64,2,SYN,8192,1699,0,,,0,44,1,62,31,1,0.5,0.5,0.5,1,0,0,0
1773306142.6099,1.9717,192.168.93.59,192.168.93.59,6,80,58551,44,40,64,20,RST|ACK,0,0,1700,,,0.0001227855682373047,88,2,63,0,1,0.4921,0,1,1,0,1,0
1773306142.6101,1.9719,192.168.93.59,192.168.93.59,6,38218,80,44,40,64,2,SYN,8192,1248,0,,,0,44,1,64,32,1,0.5,0.5,0.5,1,0,0,0
1773306142.6102,1.972,192.168.93.59,192.168.93.59,6,80,38218,44,40,64,20,RST|ACK,0,0,1249,,,0.00011086463928222656,88,2,65,0,1,0.4923,0,1,1,0,1,0
